Día,Damage Promedio,Densidad Promedio,Fracción de Volumen Promedio,Energia de Deformacion,Modulo de elasticidad promedio,% de Cenizas alpha,Promedios densida tejido
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,2.29361995962819,1.1522833256107459,62.60637706075057,0.0,0.44999999999999973,1.9905000000000006
3,0.0,2.293619974007691,1.1522833328348112,62.602269270576286,0.0,0.44999999999999973,1.9905000000000006
4,0.0,2.2936199936606756,1.1522833427082015,62.59603994755387,0.0,0.44999999999999973,1.9905000000000006
5,0.0,2.2936200174284695,1.1522833546488167,62.587687851113714,0.0,0.44999999999999973,1.9905000000000006
6,0.0,2.2936200442415298,1.1522833681193316,62.57721129611107,0.0,0.44999999999999973,1.9905000000000006
7,0.0,2.2936200731194414,1.1522833826272003,62.56460815232187,0.0,0.44999999999999973,1.9905000000000006
8,0.0,2.293620103170918,1.1522833977246514,62.54987584354815,0.0,0.44999999999999973,1.9905000000000006
9,0.0,2.293620133593799,1.1522834130086905,62.53301134710375,0.0,0.44999999999999973,1.9905000000000006
10,0.0,2.2936201636750506,1.1522834281211005,62.51401119233353,0.0,0.44999999999999973,1.9905000000000006
11,0.0,2.2936201927907676,1.1522834427484387,62.492871460000906,0.0,0.44999999999999973,1.9905000000000006
12,0.0,2.293620220406172,1.1522834566220403,62.469587780212755,0.0,0.44999999999999973,1.9905000000000006
13,0.0,2.2936202460756103,1.152283469518016,62.444155330855985,0.0,0.44999999999999973,1.9905000000000006
14,0.0,2.293620269442561,1.152283481257252,62.416568836427935,0.0,0.44999999999999973,1.9905000000000006
15,0.0,2.293620290239625,1.1522834917054137,62.386822564578836,0.0,0.44999999999999973,1.9905000000000006
16,0.0,2.2936203082885385,1.1522835007729406,62.35491032446266,0.0,0.44999999999999973,1.9905000000000006
17,0.0,2.29362032350016,1.1522835084150518,62.320825463042056,0.0,0.44999999999999973,1.9905000000000006
18,0.0,2.2936203358744818,1.1522835146317418,62.28456086356174,0.0,0.44999999999999973,1.9905000000000006
19,0.0,2.293620345500624,1.1522835194677836,62.24610887289801,0.0,0.44999999999999973,1.9905000000000006
20,0.0,2.293620352556838,1.1522835230127295,62.2054615796756,0.0,0.44999999999999973,1.9905000000000006
21,0.0,2.293620357310509,1.1522835254009087,62.16261037138545,0.0,0.44999999999999973,1.9905000000000006
22,0.0,2.293620360118153,1.1522835268114304,62.11754622783068,0.0,0.44999999999999973,1.9905000000000006
23,0.0,2.2936203614254183,1.152283527468183,62.07025964176151,0.0,0.44999999999999973,1.9905000000000006
24,0.0,2.2936203617670907,1.1522835276398347,62.02074060605249,0.0,0.44999999999999973,1.9905000000000006
25,0.0,2.2936203617670907,1.1522835276398347,61.9689786102326,0.0,0.44999999999999973,1.9905000000000006
26,-8.729248786032429e-07,2.2936205756851105,1.1522836351093246,61.9149560896976,14707134.575581627,0.44999999999999973,1.9905000000000006
27,-1.1841928815314873e-06,2.293620798160831,1.1522837468780862,61.85866709626876,14707139.15343804,0.44999999999999973,1.9905000000000006
28,-1.5074343544529967e-06,2.293621029194368,1.1522838629461785,61.80010027673512,14707143.907389732,0.44999999999999973,1.9905000000000006
29,-1.8426494843293284e-06,2.2936212687858433,1.1522839833136616,61.739243037938195,14707148.837439455,0.44999999999999973,1.9905000000000006
30,-2.1898384654495118e-06,2.293621516935384,1.1522841079805999,61.676082227663734,14707153.943590065,0.44999999999999973,1.9905000000000006
31,-2.5490014992080035e-06,2.293621773643122,1.1522842369470594,61.610604114253825,14707159.225844525,0.44999999999999973,1.9905000000000006
32,-2.9201387945487767e-06,2.2936220389091933,1.1522843702131085,61.54279437885962,14707164.68420591,0.44999999999999973,1.9905000000000006
33,5.4599743332883754e-05,2.293581018215066,1.1522637619769236,61.499184679823585,14706318.732297143,0.44999999999999973,1.9905000000000006
34,0.00011396685542253149,2.2935386775818083,1.1522424906213558,61.454271771797536,14705445.612952445,0.44999999999999973,1.9905000000000006
35,0.00017518242359393366,2.2934950158901066,1.1522205555840774,61.413182420698405,14704545.308139125,0.44999999999999973,1.9905000000000006
36,0.00023824751580103776,2.2934500321256057,1.1521979563554916,61.37577192521521,14703617.802150657,0.44999999999999973,1.9905000000000006
37,0.0003031630417830167,2.293403725378969,1.1521746924787588,61.341933244916945,14702663.081607394,0.44999999999999973,1.9905000000000006
38,0.0003699297530652679,2.293356094845892,1.1521507635498076,61.31158541563733,14701681.135456562,0.44999999999999973,1.9905000000000006
39,0.0004385482429957177,2.293307139827108,1.1521261692173366,61.284666093887935,14700671.954971721,0.44999999999999973,1.9905000000000006
40,0.0005090189468159867,2.293256859728367,1.1521009091828018,61.26112649817814,14699635.533751719,0.44999999999999973,1.9905000000000006
41,0.0005813421417597553,2.2932052540603958,1.1520749832003998,61.24092788074313,14698571.867719244,0.44999999999999973,1.9905000000000006
42,0.0006555179471767758,2.293152322438851,1.1520483910770414,61.22403914234699,14697480.95511901,0.44999999999999973,1.9905000000000006
43,0.0007315463246825304,2.2930980645842496,1.1520211326723182,61.210434630693605,14696362.796515537,0.44999999999999973,1.9905000000000006
44,0.0008094270783329804,2.293042480321891,1.1519932078984632,61.20009328650248,14695217.394790603,0.44999999999999973,1.9905000000000006
45,0.0008891598548181889,2.292985569581763,1.151964616720303,61.192997349854096,14694044.755140375,0.44999999999999973,1.9905000000000006
46,0.0009707441436833664,2.2929273323984387,1.1519353591552066,61.18913127545617,14692844.88507218,0.44999999999999973,1.9905000000000006
47,0.0010541792775679015,2.2928677689109542,1.151905435273024,61.18848167353925,14691617.794400966,0.44999999999999973,1.9905000000000006
48,0.001139464432467041,2.2928068793626832,1.1518748451960228,61.191036500603815,14690363.495245473,0.44999999999999973,1.9905000000000006
49,0.001226598628017328,2.292744664101192,1.1518435890988157,61.19678476115961,14689082.002024028,0.44999999999999973,1.9905000000000006
50,0.0013155807277992482,2.2926811235780864,1.1518116672082828,61.20571615525686,14687773.331450088,0.44999999999999973,1.9905000000000006
51,0.0014064094396647464,2.2926162583488447,1.151779079803489,61.217820871899434,14686437.502527434,0.44999999999999973,1.9905000000000006
52,0.0014990833160820616,2.2925500690726417,1.151745827215595,61.233089429936385,14685074.53654509,0.44999999999999973,1.9905000000000006
53,0.0015936007545026554,2.292482556512157,1.1517119098277606,61.25151252678168,14683684.457071934,0.44999999999999973,1.9905000000000006
54,0.0016899599977499014,2.292413721533378,1.1516773280750459,61.27308087199924,14682267.289950976,0.44999999999999973,1.9905000000000006
55,0.0017881591344245384,2.292343565105384,1.1516420824443028,61.297785078995766,14680823.063293397,0.44999999999999973,1.9905000000000006
56,0.0018881960993348823,2.2922720883001237,1.1516061734740641,61.325615593744,14679351.807472225,0.44999999999999973,1.9905000000000006
57,0.0019900686739414697,2.292199292292181,1.1515696017544241,61.3565627071651,14677853.555115787,0.44999999999999973,1.9905000000000006
58,0.0020937744868263497,2.292125178358527,1.1515323679269167,61.39061644214631,14676328.341100816,0.44999999999999973,1.9905000000000006
59,0.0021993110141781402,2.292049747878269,1.1514944726843852,61.42776646305709,14674776.202545313,0.44999999999999973,1.9905000000000006
